system:index,NDVI,date,.geo
20241003T053651_20241003T054237_T43REQ_0_0,0.8005654,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38831297115634,31.400509471086675]}"
20241003T053651_20241003T054237_T43REQ_1_0,0.8171033,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38957710293414,31.400956764371404]}"
20241003T053651_20241003T054237_T43REQ_2_0,0.82428205,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38852000455684,31.39969681272711]}"
20241003T053651_20241003T054237_T43REQ_3_0,0.77704376,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38904743378889,31.400056116055488]}"
20241003T053651_20241003T054237_T43REQ_4_0,0.72066116,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38988558564554,31.39924153880646]}"
20241003T053651_20241003T054237_T43REQ_5_0,0.8402159,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38767738689063,31.399428686334442]}"
20241003T053651_20241003T054237_T43REQ_6_0,0.84750307,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38999711495343,31.400775036068804]}"
20241003T053651_20241003T054237_T43REQ_7_0,0.8336938,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38947265851037,31.40113753302947]}"
20241003T053651_20241003T054237_T43REQ_8_0,0.7238716,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39009931909163,31.400052919777625]}"
20241003T053651_20241003T054237_T43REQ_9_0,0.8171033,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38957710293414,31.400956764371404]}"
20241003T053651_20241003T054237_T43REQ_10_0,0.84984255,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936858615111,31.401408526128385]}"
20241003T053651_20241003T054237_T43REQ_11_0,0.8084896,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38947154084269,31.40086685943431]}"
20241003T053651_20241003T054237_T43REQ_12_0,0.8165963,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38915150562475,31.399785123164843]}"
20241003T053651_20241003T054237_T43REQ_13_0,0.8693858,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38788479451281,31.398706253420798]}"
20241003T053651_20241003T054237_T43REQ_14_0,0.78547484,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38894150118222,31.399875986104615]}"
20241003T053651_20241003T054237_T43REQ_15_0,0.6625334,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39009521463133,31.399060449778577]}"
20241003T053651_20241003T054237_T43REQ_16_0,0.79164594,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38820852478413,31.40069023874324]}"
20241003T053651_20241003T054237_T43REQ_17_0,0.83430797,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3897900920429,31.40158769659236]}"
20241003T053651_20241003T054237_T43REQ_18_0,0.6886258,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39051969962223,31.399961414315648]}"
20241003T053651_20241003T054237_T43REQ_19_0,0.8164937,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3884140733637,31.39951668231881]}"
20241003T053651_20241003T054237_T43REQ_20_0,0.80689657,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38799109488168,31.39897660888161]}"
