system:index,NDWI,date,.geo
20241003T053651_20241003T054237_T43REQ_0_0,-0.7013113,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38831297115634,31.400509471086675]}"
20241003T053651_20241003T054237_T43REQ_1_0,-0.74176735,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38957710293414,31.400956764371404]}"
20241003T053651_20241003T054237_T43REQ_2_0,-0.7453754,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38852000455684,31.39969681272711]}"
20241003T053651_20241003T054237_T43REQ_3_0,-0.6953781,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38904743378889,31.400056116055488]}"
20241003T053651_20241003T054237_T43REQ_4_0,-0.6393701,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38988558564554,31.39924153880646]}"
20241003T053651_20241003T054237_T43REQ_5_0,-0.7441801,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38767738689063,31.399428686334442]}"
20241003T053651_20241003T054237_T43REQ_6_0,-0.75677556,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38999711495343,31.400775036068804]}"
20241003T053651_20241003T054237_T43REQ_7_0,-0.7504015,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38947265851037,31.40113753302947]}"
20241003T053651_20241003T054237_T43REQ_8_0,-0.6636385,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39009931909163,31.400052919777625]}"
20241003T053651_20241003T054237_T43REQ_9_0,-0.74176735,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38957710293414,31.400956764371404]}"
20241003T053651_20241003T054237_T43REQ_10_0,-0.74662703,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936858615111,31.401408526128385]}"
20241003T053651_20241003T054237_T43REQ_11_0,-0.7356703,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38947154084269,31.40086685943431]}"
20241003T053651_20241003T054237_T43REQ_12_0,-0.7295126,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38915150562475,31.399785123164843]}"
20241003T053651_20241003T054237_T43REQ_13_0,-0.7840593,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38788479451281,31.398706253420798]}"
20241003T053651_20241003T054237_T43REQ_14_0,-0.6910053,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38894150118222,31.399875986104615]}"
20241003T053651_20241003T054237_T43REQ_15_0,-0.5965445,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39009521463133,31.399060449778577]}"
20241003T053651_20241003T054237_T43REQ_16_0,-0.7112325,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38820852478413,31.40069023874324]}"
20241003T053651_20241003T054237_T43REQ_17_0,-0.7470411,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3897900920429,31.40158769659236]}"
20241003T053651_20241003T054237_T43REQ_18_0,-0.6339641,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39051969962223,31.399961414315648]}"
20241003T053651_20241003T054237_T43REQ_19_0,-0.73590815,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3884140733637,31.39951668231881]}"
20241003T053651_20241003T054237_T43REQ_20_0,-0.73005813,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38799109488168,31.39897660888161]}"
20241003T053651_20241003T054237_T43REQ_21_0,-0.6552231,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3910452676292,31.39986958669011]}"
20241003T053651_20241003T054237_T43REQ_22_0,-0.7382803,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38756960406478,31.398797432306885]}"
20241003T053651_20241003T054237_T43REQ_23_0,-0.62791795,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39041413776552,31.39987151013896]}"
20241003T053651_20241003T054237_T43REQ_24_0,-0.7300885,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3908423682083,31.401674718590012]}"
20241003T053651_20241003T054237_T43REQ_25_0,-0.7048562,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936411671793,31.400325831711246]}"
20241003T053651_20241003T054237_T43REQ_26_0,-0.76050043,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38905078307947,31.40086813695037]}"
20241003T053651_20241003T054237_T43REQ_27_0,-0.7435246,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38967819225192,31.399963974780853]}"
20241003T053651_20241003T054237_T43REQ_28_0,-0.68521535,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3899941305689,31.400053239793753]}"
20241003T053651_20241003T054237_T43REQ_29_0,-0.64615047,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39051895254012,31.399780965242865]}"
20241003T053651_20241003T054237_T43REQ_30_0,-0.29577464,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38862333408767,31.399245371111665]}"
20241003T053651_20241003T054237_T43REQ_31_0,-0.75635874,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38905041092939,31.400777912411584]}"
20241003T053651_20241003T054237_T43REQ_32_0,-0.722743,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38852186270844,31.400147935512823]}"
20241003T053651_20241003T054237_T43REQ_33_0,-0.6523929,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031006947612,31.400142504021936]}"
20241003T053651_20241003T054237_T43REQ_34_0,-0.69411767,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38946967809672,31.400415736750187]}"
20241003T053651_20241003T054237_T43REQ_35_0,-0.598089,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39062264620613,31.39941974664227]}"
20241003T053651_20241003T054237_T43REQ_36_0,-0.6227898,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39041264401716,31.39951061197867]}"
20241003T053651_20241003T054237_T43REQ_37_0,-0.52263373,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38799851741051,31.40078110014943]}"
20241003T053651_20241003T054237_T43REQ_38_0,-0.68491197,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39115120422673,31.400049714869933]}"
20241003T053651_20241003T054237_T43REQ_39_0,-0.6812515,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39104676381905,31.400230484802897]}"
20241003T053651_20241003T054237_T43REQ_40_0,-0.6607595,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031044282181,31.400232728556134]}"
20241003T053651_20241003T054237_T43REQ_41_0,-0.7298974,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3873610822893,31.3992491909903]}"
20241003T053651_20241003T054237_T43REQ_42_0,-0.23331709,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3876822076431,31.400601605677377]}"
20241003T053651_20241003T054237_T43REQ_43_0,-0.7846307,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38956965015565,31.39915227349165]}"
20241003T053651_20241003T054237_T43REQ_44_0,-0.24384113,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38726033967477,31.40033220362269]}"
20241003T053651_20241003T054237_T43REQ_45_0,-0.729616,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38883594091182,31.39978608061416]}"
20241003T053651_20241003T054237_T43REQ_46_0,-0.6797795,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38873484289127,31.400778869639097]}"
20241003T053651_20241003T054237_T43REQ_47_0,-0.74354327,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936784122885,31.40122807707162]}"
