system:index,VH,VV,date,.geo
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_0_0,-19.119325391028006,-12.334213977060422,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38830162944328,31.400463697953715]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_1_0,-17.079885718624965,-13.608435887800944,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38956613319763,31.401001215890304]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_2_0,-18.773733509044362,-12.668877389514089,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38861385093843,31.399650720812954]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_3_0,-20.654381405891414,-14.480028710180033,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38903646390227,31.400100567536487]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_4_0,-16.496648285423596,-14.415515069920255,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38987461624518,31.399285990360795]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_5_0,-15.072419093785571,-15.00437163716743,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38766604562115,31.399382913133966]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_6_0,-19.847962543327526,-14.656031522511352,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38998577239137,31.40072926309369]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_7_0,-16.69587796020715,-14.858110196164347,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38946131615673,31.401091760008807]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_8_0,-17.711153541919813,-10.966903711098317,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3900883497021,31.400097371344582]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_9_0,-17.079885718624965,-13.608435887800944,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38956613319763,31.401001215890304]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_10_0,-14.950617918068696,-13.440378976744743,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38935761626595,31.40145297762754]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_11_0,-16.523832901441686,-15.155882717240214,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38946057106631,31.400911310945112]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_12_0,-16.913008134551035,-13.31851074340346,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38914016359661,31.399739350103513]}"
