ndvi_t1,ndwi_t1,vv,vh,crop_confidence,crop_label
0.771679,0.69393605,-11.036011354419502,-18.3284758789139,38,Non_wintercereal
0.77995694,0.68714577,-12.612927240250292,-18.209255504385297,18,Wintercereal_Wheat_or_Mustard
0.85323066,0.75166833,-11.165818930882232,-17.762498651995692,12,Wintercereal_Wheat_or_Mustard
0.78049356,0.67907804,-11.304611186252096,-19.73118248393797,28,Wintercereal_Wheat_or_Mustard
0.86433566,0.75308233,-10.21697315373646,-17.253765796906134,14,Wintercereal_Wheat_or_Mustard
0.22813238,0.31936508,-10.298738201344564,-17.868477991800095,76,Wintercereal_Wheat_or_Mustard
0.26008183,0.3366398,-10.150968238721916,-18.472294071012293,84,Wintercereal_Wheat_or_Mustard
0.7308993,0.6573155,-10.125834507045372,-17.76171635432788,83,Wintercereal_Wheat_or_Mustard
0.8586494,0.73506045,-10.533009936290227,-16.35317589393259,75,Wintercereal_Wheat_or_Mustard
0.8044499,0.7098646,-11.928579822554312,-17.339310428978315,92,Wintercereal_Wheat_or_Mustard
0.55767196,0.5222337,-11.266557168771447,-16.17847673937761,29,Wintercereal_Wheat_or_Mustard
0.55820584,0.5242201,-11.690216005407574,-16.194927846272883,3,Wintercereal_Wheat_or_Mustard
0.7707466,0.6719078,-10.023292353243535,-16.728867045903883,3,Wintercereal_Wheat_or_Mustard
0.77153796,0.7156984,-10.592014763895987,-16.939185755103253,12,Wintercereal_Wheat_or_Mustard
0.21907061,0.3007083,-10.84073526053608,-19.24151006060772,81,Wintercereal_Wheat_or_Mustard
0.2467223,0.31572327,-10.240115992356998,-18.335592040824096,89,Wintercereal_Wheat_or_Mustard
0.27131784,0.32614556,-8.66797668420818,-14.000963248752862,32,Wintercereal_Wheat_or_Mustard
0.51921976,0.4968909,-7.034129999838105,-12.083558699708172,32,Wintercereal_Wheat_or_Mustard
0.7496992,0.6550939,-8.976224344297078,-12.616919517279248,77,Non_wintercereal
0.77228945,0.6996684,-11.76959250804144,-17.785007803866662,16,Non_wintercereal
0.78401935,0.69769585,-12.692519636293593,-17.217539126267567,1,Wintercereal_Wheat_or_Mustard
0.74737895,0.67464113,-12.435435818948484,-18.3699174317547,31,Wintercereal_Wheat_or_Mustard
0.21454546,0.30214426,-11.731988621184575,-19.742825481172453,88,Wintercereal_Wheat_or_Mustard
0.41638225,0.43021253,-10.654775675738977,-17.990833902658583,67,Wintercereal_Wheat_or_Mustard
0.7227456,0.6594641,-10.34833192249183,-17.510461555434006,67,Wintercereal_Wheat_or_Mustard
0.8100732,0.69288236,-11.31278160140133,-16.481244296598433,96,Wintercereal_Wheat_or_Mustard
0.588964,0.55739516,-6.5162858934222125,-9.937421918029443,83,Non_wintercereal
0.588964,0.55739516,-8.626785841398313,-12.70120808258944,85,Non_wintercereal
0.8424015,0.74267966,-11.808660233561923,-18.707892164088523,2,Non_wintercereal
0.85998064,0.73946536,-12.913247092883918,-19.165306501887933,13,Wintercereal_Wheat_or_Mustard
0.7692685,0.69440526,-12.714246378857748,-18.19812289284242,35,Wintercereal_Wheat_or_Mustard
0.8206465,0.7556561,-12.322160011814374,-17.891393329121943,90,Wintercereal_Wheat_or_Mustard
0.8206465,0.7556561,-12.37795150191455,-18.21076669285358,90,Wintercereal_Wheat_or_Mustard
0.20884676,0.28174204,-9.25377204897556,-19.06543108529664,89,Wintercereal_Wheat_or_Mustard
0.21204357,0.27924272,-9.854756771005087,-18.78927084749216,90,Wintercereal_Wheat_or_Mustard
0.24422236,0.3002611,-9.276637698878318,-19.2765425095532,78,Wintercereal_Wheat_or_Mustard
0.761977,0.68770766,-10.29666281579659,-16.805715145370687,89,Wintercereal_Wheat_or_Mustard
